Google Category,Loopla Category
/Shopping/Apparel/Footwear,"/Products/Shoes, /Products/Socks"
/Shopping/Apparel/Formal Wear,/Products/Formal Wear
/Shopping/Apparel/Headwear,/Products/Hats
/Shopping/Apparel/Men's Clothing,/Products/Men's Clothing
/Shopping/Apparel/Swimwear,/Products/Swim Suits
/Shopping/Apparel/Undergarments,/Products/Undergarments
/Shopping/Apparel/Women's Clothing,/Products/Women's Clothing
/Shopping/Auctions,/Events/Auctions
/Shopping/Classifieds,/Products/Classifieds
/Shopping/Consumer Resources,/Finance/Consumer Resources
/Shopping/Consumer Resources/Consumer Advocacy & Protection,/Finance/Consumer Resources
/Shopping/Consumer Resources/Coupons & Discount Offers,/Finance/Consumer Resources
/Shopping/Consumer Resources/Product Reviews & Price Comparisons,/Finance/Consumer Resources
/Shopping/Entertainment Media,/Products/Entertainment
/Shopping/Entertainment Media/Entertainment Media Rentals,/Products/Entertainment
/Shopping/Gifts & Special Event Items,/Products/Gifts
/Shopping/Gifts & Special Event Items/Cards & Greetings,/Products/Cards
/Shopping/Gifts & Special Event Items/Flowers,/Products/Flowers
/Shopping/Gifts & Special Event Items/Gifts,/Products/Gifts
/Shopping/Luxury Goods,/Products/Luxury Goods
/Shopping/Mass Merchants & Department Stores,/Products/Retail
/Shopping/Photo & Video Services,"/Products/Photo Services, /Products/Video Services"
/Shopping/Tobacco Products,/Products/Tobacco
/Shopping/Toys,/Products/Toys
/Shopping/Toys/Building Toys,/Products/Toys
/Shopping/Toys/Die-cast & Toy Vehicles,/Products/Toys
/Shopping/Toys/Dolls & Accessories,/Products/Toys
/Shopping/Toys/Ride-On Toys & Wagons,/Products/Toys
/Shopping/Toys/Stuffed Toys,/Products/Toys
,
,
/Food & Drink,/Food
/Food & Drink/Beverages,/Food/Drink
/Food & Drink/Beverages/Alcoholic Beverages,/Food/Alcohol
/Food & Drink/Beverages/Coffee & Tea,/Food/Coffee & Tea
/Food & Drink/Beverages/Juice,/Food/Juice
/Food & Drink/Beverages/Soft Drinks,/Food/Soda
/Food & Drink/Cooking & Recipes,/Food/Recipes
/Food & Drink/Cooking & Recipes/BBQ & Grilling,/Food/Recipes
/Food & Drink/Cooking & Recipes/Desserts,/Food/Recipes
/Food & Drink/Cooking & Recipes/Soups & Stews,/Food/Recipes
/Food & Drink/Food,/Food
/Food & Drink/Food & Grocery Retailers,/Food/Retail Stores
/Food & Drink/Food/Baked Goods,/Food/Baked Goods
/Food & Drink/Food/Breakfast Foods,/Food/Breakfast
/Food & Drink/Food/Candy & Sweets,/Food/Candy
/Food & Drink/Food/Grains & Pasta,/Food/Grains & Pasta
/Food & Drink/Food/Meat & Seafood,"/Food/Meat, /Food/Seafood"
/Food & Drink/Food/Snack Foods,/Food/Snacks
/Food & Drink/Restaurants,/Food/Restaurants
/Food & Drink/Restaurants/Fast Food,/Food/Restaurants
/Food & Drink/Restaurants/Pizzerias,/Food/Restaurants
/Food & Drink/Restaurants/Restaurant Reviews & Reservations,/Food/Restaurants
,
,
/Games,/Recreation/Games
/Games/Arcade & Coin-Op Games,/Recreation/Arcade Games
/Games/Board Games,/Recreation/Board Games
/Games/Board Games/Chess & Abstract Strategy Games,/Recreation/Board Games
/Games/Board Games/Miniatures & Wargaming,/Recreation/Board Games
/Games/Card Games,/Recreation/Card Games
/Games/Card Games/Collectible Card Games,/Recreation/Card Games
/Games/Card Games/Poker & Casino Games,/Recreation/Card Games
/Games/Computer & Video Games,/Recreation/Video Games
/Games/Computer & Video Games/Casual Games,/Recreation/Video Games
/Games/Computer & Video Games/Driving & Racing Games,/Recreation/Video Games
/Games/Computer & Video Games/Fighting Games,/Recreation/Video Games
/Games/Computer & Video Games/Music & Dance Games,/Recreation/Video Games
/Games/Computer & Video Games/Sandbox Games,/Recreation/Video Games
/Games/Computer & Video Games/Shooter Games,/Recreation/Video Games
/Games/Computer & Video Games/Simulation Games,/Recreation/Video Games
/Games/Computer & Video Games/Sports Games,/Recreation/Video Games
/Games/Computer & Video Games/Strategy Games,/Recreation/Video Games
/Games/Computer & Video Games/Video Game Emulation,/Recreation/Video Games
/Games/Family-Oriented Games & Activities,/Recreation/Family Games
/Games/Family-Oriented Games & Activities/Drawing & Coloring,/Recreation/Family Games
/Games/Family-Oriented Games & Activities/Dress-Up & Fashion Games,/Recreation/Family Games
/Games/Gambling,/Recreation/Gambling
/Games/Gambling/Lottery,/Recreation/Gambling
/Games/Online Games/Massively Multiplayer Games,/Recreation/Video Games
/Games/Puzzles & Brainteasers,/Recreation/Puzzles
/Games/Roleplaying Games,/Recreation/Roleplaying Games
/Games/Table Games,/Recreation/Table Games
/Games/Table Games/Billiards,/Recreation/Table Games
/Games/Word Games,/Recreation/Word Games
,
,
/Sports,/Recreation/Sports
/Sports/Animal Sports,/Recreation/Sports
/Sports/College Sports,/Recreation/Sports
/Sports/Combat Sports,/Recreation/Sports
/Sports/Combat Sports/Boxing,/Recreation/Boxing
/Sports/Combat Sports/Martial Arts,/Recreation/Martial Arts
/Sports/Combat Sports/Wrestling,/Recreation/Wrestling
/Sports/Extreme Sports,/Recreation/Sports
/Sports/Extreme Sports/Drag & Street Racing,/Recreation/Sports
/Sports/Fantasy Sports,/Recreation/Fantasy Sports
/Sports/Individual Sports,/Recreation/Sports
/Sports/Individual Sports/Cycling,/Recreation/Cycling
/Sports/Individual Sports/Golf,/Recreation/Golf
/Sports/Individual Sports/Gymnastics,/Recreation/Gymnastics
/Sports/Individual Sports/Racquet Sports,/Recreation/Racquet Sports
/Sports/Individual Sports/Skate Sports,/Recreation/Sports
/Sports/Individual Sports/Track & Field,/Recreation/Track & Field
/Sports/International Sports Competitions,/Events/Sports
/Sports/International Sports Competitions/Olympics,/Events/Olympics
/Sports/Motor Sports,/Recreation/Motor Sports
/Sports/Sporting Goods,/Products/Sporting Goods
/Sports/Sporting Goods/Sports Memorabilia,/Products/Sporting Goods
/Sports/Sporting Goods/Winter Sports Equipment,/Products/Sporting Goods
/Sports/Sports Coaching & Training,"/Education/Coaching, /Recreation/Sports Training"
/Sports/Team Sports,/Recreation/Sports
/Sports/Team Sports/American Football,/Recreation/Football
/Sports/Team Sports/Australian Football,/Recreation/Sports
/Sports/Team Sports/Baseball,/Recreation/Baseball
/Sports/Team Sports/Basketball,/Recreation/Basketball
/Sports/Team Sports/Cheerleading,/Recreation/Cheerleading
/Sports/Team Sports/Cricket,/Recreation/Cricket
/Sports/Team Sports/Hockey,/Recreation/Hockey
/Sports/Team Sports/Rugby,/Recreation/Rugby
/Sports/Team Sports/Soccer,/Recreation/Soccer
/Sports/Team Sports/Volleyball,/Recreation/Volleyball
/Sports/Water Sports,/Recreation/Sports
/Sports/Water Sports/Surfing,/Recreation/Surfing
/Sports/Water Sports/Swimming,/Recreation/Swimming
/Sports/Winter Sports,/Recreation/Sports
/Sports/Winter Sports/Ice Skating,/Recreation/Ice Skating
/Sports/Winter Sports/Skiing & Snowboarding,/Recreation/Skiing & Snowboarding
,
,
/Health,/Health
/Health/Aging & Geriatrics,/Health/Aging
/Health/Health Conditions,/Health
/Health/Health Conditions/AIDS & HIV,/Health/AIDS & HIV
/Health/Health Conditions/Allergies,/Health/Allergies
/Health/Health Conditions/Arthritis,/Health/Arthritis
/Health/Health Conditions/Cancer,/Health/Cancer
/Health/Health Conditions/Diabetes,/Health/Diabetes
/Health/Health Conditions/Ear Nose & Throat,/Health/Ear Nose & Throat
/Health/Health Conditions/Eating Disorders,/Health/Eating Disorders
/Health/Health Conditions/Endocrine Conditions,/Health/Endocrine Conditions
/Health/Health Conditions/Genetic Disorders,/Health/Genetics
/Health/Health Conditions/Heart & Hypertension,/Health/Heart & Hypertension
/Health/Health Conditions/Infectious Diseases,/Health/Infectious Diseases
/Health/Health Conditions/Neurological Conditions,/Health/Neurologist
/Health/Health Conditions/Obesity,/Health/Obesity
/Health/Health Conditions/Pain Management,/Health/Pain
/Health/Health Conditions/Respiratory Conditions,/Health/Respiratory
/Health/Health Conditions/Skin Conditions,/Health/Skin
/Health/Health Conditions/Sleep Disorders,/Health/Sleep
/Health/Health Education & Medical Training,/Education/Medical
/Health/Health Foundations & Medical Research,/Health/Research
/Health/Medical Devices & Equipment,/Products/Medical Devices
/Health/Medical Facilities & Services,/Health/Medical Services
/Health/Medical Facilities & Services/Doctors' Offices,/Health/Medical Services
/Health/Medical Facilities & Services/Hospitals & Treatment Centers,/Health/Hospitals
/Health/Medical Facilities & Services/Medical Procedures,/Health/Medical Services
/Health/Medical Facilities & Services/Physical Therapy,/Health/Physical Therapy
/Health/Men's Health,/Health/Men's Health
/Health/Mental Health,/Health/Mental Health
/Health/Mental Health/Anxiety & Stress,/Health/Anxiety & Stress
/Health/Mental Health/Depression,/Health/Depression
/Health/Nursing,/Health/Nursing
/Health/Nursing/Assisted Living & Long Term Care,/Health/Assisted Living
/Health/Nutrition,/Health/Nutrition
/Health/Nutrition/Special & Restricted Diets,/Health/Diets
/Health/Nutrition/Vitamins & Supplements,/Health/Vitamins
/Health/Oral & Dental Care,/Health/Dental
/Health/Pharmacy,/Health/Pharmacy
/Health/Pharmacy/Drugs & Medications,/Health/Medications
/Health/Public Health,/Health/Public Health
/Health/Public Health/Occupational Health & Safety,/Health/Occupational Health
/Health/Reproductive Health,/Health/Reproductive
/Health/Substance Abuse,/Health/Substance Abuse
/Health/Substance Abuse/Drug & Alcohol Testing,/Health/Substance Abuse
/Health/Substance Abuse/Drug & Alcohol Treatment,/Health/Substance Abuse
/Health/Substance Abuse/Smoking & Smoking Cessation,/Health/Smoking
/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,/Health/Substance Abuse
/Health/Vision Care,/Health/Vision
/Health/Vision Care/Eyeglasses & Contacts,/Health/Vision
/Health/Women's Health,/Health/Women's Health
,
,
/Travel,/Travel
/Travel/Air Travel,/Travel/Air Travel
/Travel/Air Travel/Airport Parking & Transportation,/Travel/Air Travel
/Travel/Bus & Rail,/Travel/Bus & Rail
/Travel/Car Rental & Taxi Services,"/Travel/Car Rental, Travel/Taxi & Ride Sharing"
/Travel/Cruises & Charters,/Travel/Cruises & Charters
/Travel/Hotels & Accommodations,/Travel/Hotels
/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,/Travel/Vacation Rentals
/Travel/Specialty Travel,/Travel
/Travel/Tourist Destinations,/Travel
/Travel/Tourist Destinations/Beaches & Islands,/Travel/Beaches
/Travel/Tourist Destinations/Mountain & Ski Resorts,/Travel/Mountains & Skiing
/Travel/Tourist Destinations/Regional Parks & Gardens,/Travel/Parks
/Travel/Tourist Destinations/Theme Parks,/Travel/Theme Parks
/Travel/Tourist Destinations/Zoos-Aquariums-Preserves,/Travel/Zoos
